PWGTP,STPUMA,POWSPPUMA,RES,POW,TM,TT
26,03603001,03604000,Lower Hudson Valley,Brooklyn,Drive Alone,Less than 30 Mins
18,03603107,03603800,Lower Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
11,03603107,03603800,Lower Hudson Valley,Manhattan,Rail,Less than 30 Mins
30,03603106,03603700,Lower Hudson Valley,Bronx,Drive Alone,Less than 30 Mins
20,03603107,03603700,Lower Hudson Valley,Bronx,Drive Alone,30 to 59 Mins
24,03603103,03603700,Lower Hudson Valley,Bronx,Drive Alone,30 to 59 Mins
12,03603207,03603700,Long Island,Bronx,Drive Alone,Less than 30 Mins
12,03603312,03604100,Long Island,Queens,Rail,90 Mins or More
5,03603201,03604000,Long Island,Brooklyn,Drive Alone,90 Mins or More
4,03603201,03604000,Long Island,Brooklyn,Drive Alone,30 to 59 Mins
17,03603207,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
16,03603210,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
11,03603107,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
11,03603107,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
10,03603201,03603800,Long Island,Manhattan,Rail,30 to 59 Mins
30,03603107,03603800,Lower Hudson Valley,Manhattan,Rail,90 Mins or More
30,03603106,03603800,Lower Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
38,03603311,03603800,Long Island,Manhattan,Rail,90 Mins or More
5,03602701,03603800,Mid Hudson Valley,Manhattan,Subway,30 to 59 Mins
13,03603103,03604100,Lower Hudson Valley,Queens,Drive Alone,60 to 89 Mins
20,03603104,03603700,Lower Hudson Valley,Bronx,Drive Alone,30 to 59 Mins
12,03603211,03604000,Long Island,Brooklyn,Drive Alone,60 to 89 Mins
17,03603208,03604100,Long Island,Queens,Drive Alone,60 to 89 Mins
15,03603208,03603800,Long Island,Manhattan,Rail,90 Mins or More
38,03603308,03603800,Long Island,Manhattan,Subway,90 Mins or More
10,03603312,03604000,Long Island,Brooklyn,Drive Alone,60 to 89 Mins
11,03603204,03603800,Long Island,Manhattan,Rail,30 to 59 Mins
13,03603205,03603800,Long Island,Manhattan,Rail,90 Mins or More
19,03603104,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
16,03603211,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
16,03603204,03603700,Long Island,Bronx,Drive Alone,30 to 59 Mins
15,03603204,03604000,Long Island,Brooklyn,Drive Alone,30 to 59 Mins
12,03603204,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
11,03603210,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
35,03603206,03603800,Long Island,Manhattan,Rail,90 Mins or More
11,03603201,03604000,Long Island,Brooklyn,Other,Less than 30 Mins
21,03603210,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
36,03603205,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
24,03603306,03603800,Long Island,Manhattan,Drive Alone,60 to 89 Mins
26,03603104,03603700,Lower Hudson Valley,Bronx,Drive Alone,30 to 59 Mins
15,03603308,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
24,03603106,03603700,Lower Hudson Valley,Bronx,Drive Alone,Less than 30 Mins
26,03603003,03603800,Lower Hudson Valley,Manhattan,Bus,90 Mins or More
16,03603203,03604000,Long Island,Brooklyn,Drive Alone,90 Mins or More
13,03603102,03604100,Lower Hudson Valley,Queens,Bus,30 to 59 Mins
12,03603105,03603700,Lower Hudson Valley,Bronx,Drive Alone,30 to 59 Mins
41,03603107,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
19,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
13,03603205,03603800,Long Island,Manhattan,Rail,30 to 59 Mins
16,03603205,03604100,Long Island,Queens,Drive Alone,90 Mins or More
14,03603205,03603800,Long Island,Manhattan,Rail,30 to 59 Mins
20,03603206,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
15,03603305,03603800,Long Island,Manhattan,Rail,90 Mins or More
15,03603103,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
15,03603103,03603800,Lower Hudson Valley,Manhattan,Rail,90 Mins or More
29,03603104,03603800,Lower Hudson Valley,Manhattan,Subway,60 to 89 Mins
13,03603211,03603800,Long Island,Manhattan,Subway,60 to 89 Mins
8,03603101,03604000,Lower Hudson Valley,Brooklyn,Rail,90 Mins or More
11,03603310,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
15,03603310,03604000,Long Island,Brooklyn,Drive Alone,Less than 30 Mins
16,03603105,03603700,Lower Hudson Valley,Bronx,Carpool,90 Mins or More
9,03603211,03604000,Long Island,Brooklyn,Drive Alone,30 to 59 Mins
12,03602802,03603800,Mid Hudson Valley,Manhattan,Rail,90 Mins or More
19,03603102,03603800,Lower Hudson Valley,Manhattan,Drive Alone,60 to 89 Mins
8,03603209,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
25,03603001,03604100,Lower Hudson Valley,Queens,Drive Alone,30 to 59 Mins
17,03603001,03604100,Lower Hudson Valley,Queens,Drive Alone,60 to 89 Mins
25,03603203,03603700,Long Island,Bronx,Drive Alone,30 to 59 Mins
35,03603203,03604000,Long Island,Brooklyn,Rail,90 Mins or More
19,03603003,03604000,Lower Hudson Valley,Brooklyn,Bus,90 Mins or More
31,03603103,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
33,03603103,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
22,03603204,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
15,03603201,03603800,Long Island,Manhattan,Rail,90 Mins or More
19,03603208,03603800,Long Island,Manhattan,Rail,90 Mins or More
17,03603208,03603800,Long Island,Manhattan,Rail,90 Mins or More
14,03603105,03604100,Lower Hudson Valley,Queens,Drive Alone,Less than 30 Mins
22,03603107,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
16,03602802,03603800,Mid Hudson Valley,Manhattan,Other,60 to 89 Mins
12,03603301,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
12,03603301,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
3,03603201,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
47,03603101,03603800,Lower Hudson Valley,Manhattan,Other,Less than 30 Mins
8,03603201,03604000,Long Island,Brooklyn,Carpool,60 to 89 Mins
16,03603210,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
77,03603103,03603700,Lower Hudson Valley,Bronx,Drive Alone,30 to 59 Mins
17,03603203,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
29,03603209,03604100,Long Island,Queens,Carpool,30 to 59 Mins
48,03603209,03603700,Long Island,Bronx,Carpool,60 to 89 Mins
73,03603313,03604100,Long Island,Queens,Rail,60 to 89 Mins
17,03603302,03604100,Long Island,Queens,Drive Alone,90 Mins or More
16,03603104,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
16,03603208,03604000,Long Island,Brooklyn,Drive Alone,90 Mins or More
10,03603202,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
10,03603106,03603800,Lower Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
22,03603103,03603700,Lower Hudson Valley,Bronx,Drive Alone,60 to 89 Mins
14,03602702,03603800,Mid Hudson Valley,Manhattan,Drive Alone,Less than 30 Mins
21,03603302,03603900,Long Island,Staten Island,Drive Alone,90 Mins or More
11,03603104,03603900,Lower Hudson Valley,Staten Island,Carpool,60 to 89 Mins
9,03603106,03603700,Lower Hudson Valley,Bronx,Bus,60 to 89 Mins
7,03603107,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
12,03603208,03604000,Long Island,Brooklyn,Drive Alone,30 to 59 Mins
16,03603106,03603700,Lower Hudson Valley,Bronx,Carpool,Less than 30 Mins
48,03603312,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
14,03603107,03603800,Lower Hudson Valley,Manhattan,Subway,90 Mins or More
15,03603107,03603800,Lower Hudson Valley,Manhattan,Carpool,90 Mins or More
18,03603107,03603800,Lower Hudson Valley,Manhattan,Subway,60 to 89 Mins
8,03603201,03603800,Long Island,Manhattan,Drive Alone,60 to 89 Mins
13,03603203,03603800,Long Island,Manhattan,Rail,90 Mins or More
51,03603208,03604100,Long Island,Queens,Drive Alone,90 Mins or More
99,03603302,03604000,Long Island,Brooklyn,Drive Alone,60 to 89 Mins
3,03603202,03603800,Long Island,Manhattan,Rail,90 Mins or More
24,03603104,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
13,03603211,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
54,03603208,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
32,03603002,03603800,Lower Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
8,03603201,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
6,03603201,03603800,Long Island,Manhattan,Rail,30 to 59 Mins
26,03603103,03603800,Lower Hudson Valley,Manhattan,Rail,90 Mins or More
11,03603107,03603800,Lower Hudson Valley,Manhattan,Drive Alone,60 to 89 Mins
35,03603106,03603800,Lower Hudson Valley,Manhattan,Drive Alone,Less than 30 Mins
19,03603302,03604100,Long Island,Queens,Carpool,60 to 89 Mins
11,03603205,03604100,Long Island,Queens,Drive Alone,60 to 89 Mins
7,03603201,03603800,Long Island,Manhattan,Rail,30 to 59 Mins
8,03603201,03603800,Long Island,Manhattan,Rail,30 to 59 Mins
17,03603201,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
13,03603107,03604000,Lower Hudson Valley,Brooklyn,Drive Alone,60 to 89 Mins
12,03603204,03604000,Long Island,Brooklyn,Drive Alone,60 to 89 Mins
14,03603204,03603800,Long Island,Manhattan,Drive Alone,30 to 59 Mins
22,03602903,03603800,Mid Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
23,03603310,03604000,Long Island,Brooklyn,Drive Alone,90 Mins or More
17,03603205,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
9,03603205,03603800,Long Island,Manhattan,Rail,90 Mins or More
18,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,90 Mins or More
46,03603301,03603800,Long Island,Manhattan,Rail,90 Mins or More
26,03603001,03603700,Lower Hudson Valley,Bronx,Drive Alone,60 to 89 Mins
21,03603001,03603700,Lower Hudson Valley,Bronx,Drive Alone,60 to 89 Mins
18,03603107,03603700,Lower Hudson Valley,Bronx,Rail,60 to 89 Mins
23,03603107,03603800,Lower Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
15,03602702,03603800,Mid Hudson Valley,Manhattan,Bus,90 Mins or More
10,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
26,03603211,03604000,Long Island,Brooklyn,Rail,30 to 59 Mins
14,03603106,03603800,Lower Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
9,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
5,03603305,03603800,Long Island,Manhattan,Subway,60 to 89 Mins
26,03603212,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
30,03603212,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
45,03603208,03603800,Long Island,Manhattan,Rail,90 Mins or More
36,03603301,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
3,03603201,03604100,Long Island,Queens,Rail,60 to 89 Mins
3,03603201,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
11,03603210,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
15,03603308,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
13,03603309,03604100,Long Island,Queens,Rail,60 to 89 Mins
44,03603209,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
62,03603203,03604100,Long Island,Queens,Carpool,30 to 59 Mins
54,03603206,03603800,Long Island,Manhattan,Rail,90 Mins or More
14,03603209,03604100,Long Island,Queens,Carpool,30 to 59 Mins
7,03603313,03603800,Long Island,Manhattan,Drive Alone,90 Mins or More
11,03603313,03603800,Long Island,Manhattan,Drive Alone,Less than 30 Mins
15,03603106,03603800,Lower Hudson Valley,Manhattan,Drive Alone,90 Mins or More
80,03603211,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
20,03603204,03603700,Long Island,Bronx,Rail,30 to 59 Mins
60,03603209,03603800,Long Island,Manhattan,Subway,60 to 89 Mins
26,03603204,03604000,Long Island,Brooklyn,Drive Alone,30 to 59 Mins
20,03603204,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
15,03603102,03603800,Lower Hudson Valley,Manhattan,Rail,90 Mins or More
16,03603102,03604000,Lower Hudson Valley,Brooklyn,Rail,90 Mins or More
14,03603102,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
20,03603208,03603800,Long Island,Manhattan,Rail,90 Mins or More
6,03603202,03603800,Long Island,Manhattan,Drive Alone,60 to 89 Mins
6,03603202,03604100,Long Island,Queens,Drive Alone,60 to 89 Mins
23,03602701,03603800,Mid Hudson Valley,Manhattan,Bus,90 Mins or More
13,03602802,03603800,Mid Hudson Valley,Manhattan,Rail,90 Mins or More
20,03603201,03603800,Long Island,Manhattan,Rail,90 Mins or More
63,03603309,03603800,Long Island,Manhattan,Drive Alone,Less than 30 Mins
14,03603203,03603800,Long Island,Manhattan,Drive Alone,60 to 89 Mins
14,03603203,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
20,03603203,03604100,Long Island,Queens,Rail,60 to 89 Mins
77,03603212,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
18,03603207,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
7,03603201,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
23,03603103,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
7,03603207,03603800,Long Island,Manhattan,Rail,90 Mins or More
19,03603201,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
20,03603204,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
12,03603207,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
17,03603307,03603800,Long Island,Manhattan,Drive Alone,60 to 89 Mins
13,03603001,03603700,Lower Hudson Valley,Bronx,Drive Alone,60 to 89 Mins
12,03603309,03603800,Long Island,Manhattan,Rail,90 Mins or More
18,03603212,03604100,Long Island,Queens,Rail,90 Mins or More
44,03603309,03604000,Long Island,Brooklyn,Drive Alone,60 to 89 Mins
39,03603103,03603800,Lower Hudson Valley,Manhattan,Rail,90 Mins or More
77,03603103,03603800,Lower Hudson Valley,Manhattan,Rail,90 Mins or More
9,03603101,03603700,Lower Hudson Valley,Bronx,Drive Alone,60 to 89 Mins
7,03603101,03603700,Lower Hudson Valley,Bronx,Drive Alone,60 to 89 Mins
5,03603201,03603800,Long Island,Manhattan,Rail,30 to 59 Mins
4,03603201,03604100,Long Island,Queens,Drive Alone,60 to 89 Mins
24,03603107,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
32,03603102,03604100,Lower Hudson Valley,Queens,Drive Alone,Less than 30 Mins
15,03603304,03604000,Long Island,Brooklyn,Drive Alone,90 Mins or More
23,03603107,03604100,Lower Hudson Valley,Queens,Drive Alone,Less than 30 Mins
29,03603107,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
21,03603107,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
21,03603107,03604100,Lower Hudson Valley,Queens,Drive Alone,Less than 30 Mins
12,03603203,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
24,03603002,03603800,Lower Hudson Valley,Manhattan,Rail,90 Mins or More
82,03603106,03603700,Lower Hudson Valley,Bronx,Drive Alone,30 to 59 Mins
59,03603106,03603700,Lower Hudson Valley,Bronx,Bus,60 to 89 Mins
16,03603102,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
48,03603306,03603800,Long Island,Manhattan,Drive Alone,90 Mins or More
17,03603208,03604100,Long Island,Queens,Drive Alone,60 to 89 Mins
16,03603301,03603800,Long Island,Manhattan,Rail,90 Mins or More
16,03603103,03603800,Lower Hudson Valley,Manhattan,Rail,90 Mins or More
18,03603301,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
14,03603002,03603800,Lower Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
78,03603212,03604000,Long Island,Brooklyn,Drive Alone,30 to 59 Mins
15,03603204,03603800,Long Island,Manhattan,Subway,90 Mins or More
16,03603101,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
12,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
8,03603311,03604100,Long Island,Queens,Drive Alone,90 Mins or More
42,03603105,03603800,Lower Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
40,03603105,03603800,Lower Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
31,03603106,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
12,03603212,03603800,Long Island,Manhattan,Drive Alone,60 to 89 Mins
14,03603212,03603800,Long Island,Manhattan,Drive Alone,30 to 59 Mins
15,03603002,03603800,Lower Hudson Valley,Manhattan,Carpool,30 to 59 Mins
17,03603002,03603800,Lower Hudson Valley,Manhattan,Carpool,30 to 59 Mins
16,03603209,03604000,Long Island,Brooklyn,Drive Alone,90 Mins or More
13,03603310,03603800,Long Island,Manhattan,Carpool,30 to 59 Mins
23,03603205,03603800,Long Island,Manhattan,Rail,30 to 59 Mins
16,03603201,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
35,03603211,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
62,03603211,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
81,03603211,03603800,Long Island,Manhattan,Drive Alone,Less than 30 Mins
64,03603211,03604100,Long Island,Queens,Carpool,30 to 59 Mins
12,03603102,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
19,03603201,03603800,Long Island,Manhattan,Carpool,30 to 59 Mins
20,03603201,03603800,Long Island,Manhattan,Carpool,30 to 59 Mins
15,03603001,03603700,Lower Hudson Valley,Bronx,Drive Alone,30 to 59 Mins
6,03603305,03603800,Long Island,Manhattan,Other,Less than 30 Mins
7,03603201,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
30,03603207,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
14,03603303,03603800,Long Island,Manhattan,Rail,90 Mins or More
13,03603303,03603800,Long Island,Manhattan,Rail,90 Mins or More
22,03603201,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
9,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
7,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
16,03603201,03604100,Long Island,Queens,Carpool,Less than 30 Mins
14,03603302,03604100,Long Island,Queens,Drive Alone,90 Mins or More
14,03603103,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
20,03603202,03604100,Long Island,Queens,Rail,90 Mins or More
15,03603204,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
13,03603204,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
5,03603305,03603800,Long Island,Manhattan,Subway,30 to 59 Mins
26,03603102,03603700,Lower Hudson Valley,Bronx,Drive Alone,60 to 89 Mins
19,03603203,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
3,03603201,03603800,Long Island,Manhattan,Subway,60 to 89 Mins
11,03602801,03603800,Mid Hudson Valley,Manhattan,Rail,90 Mins or More
24,03603107,03603700,Lower Hudson Valley,Bronx,Rail,60 to 89 Mins
7,03603209,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
9,03603209,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
31,03603104,03603800,Lower Hudson Valley,Manhattan,Rail,90 Mins or More
7,03603107,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
12,03603202,03603800,Long Island,Manhattan,Rail,90 Mins or More
14,03603106,03603700,Lower Hudson Valley,Bronx,Bus,30 to 59 Mins
16,03603204,03604100,Long Island,Queens,Carpool,30 to 59 Mins
21,03603204,03604100,Long Island,Queens,Drive Alone,60 to 89 Mins
35,03603003,03603800,Lower Hudson Valley,Manhattan,Drive Alone,60 to 89 Mins
10,03603104,03604100,Lower Hudson Valley,Queens,Carpool,90 Mins or More
12,03603104,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
14,03603210,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
20,03603210,03604100,Long Island,Queens,Drive Alone,60 to 89 Mins
15,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
19,03603205,03603800,Long Island,Manhattan,Rail,30 to 59 Mins
15,03603312,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
26,03603312,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
17,03602801,03603800,Mid Hudson Valley,Manhattan,Rail,90 Mins or More
17,03603107,03603800,Lower Hudson Valley,Manhattan,Drive Alone,90 Mins or More
23,03603302,03603800,Long Island,Manhattan,Drive Alone,90 Mins or More
18,03603207,03603800,Long Island,Manhattan,Drive Alone,60 to 89 Mins
40,03603202,03603800,Long Island,Manhattan,Rail,90 Mins or More
16,03603102,03603800,Lower Hudson Valley,Manhattan,Rail,90 Mins or More
16,03603203,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
82,03603310,03603800,Long Island,Manhattan,Bus,30 to 59 Mins
16,03603210,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
12,03603210,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
14,03603003,03603800,Lower Hudson Valley,Manhattan,Drive Alone,Less than 30 Mins
29,03603311,03604100,Long Island,Queens,Rail,90 Mins or More
15,03603211,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
10,03603204,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
12,03603204,03604100,Long Island,Queens,Drive Alone,30 to 59 Mins
15,03603204,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
14,03603207,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
30,03603211,03603800,Long Island,Manhattan,Rail,30 to 59 Mins
14,03603205,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
19,03603106,03603700,Lower Hudson Valley,Bronx,Drive Alone,Less than 30 Mins
20,03603106,03603800,Lower Hudson Valley,Manhattan,Bus,60 to 89 Mins
21,03603103,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
26,03602901,03603700,Mid Hudson Valley,Bronx,Drive Alone,90 Mins or More
18,03603311,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
16,03603105,03603800,Lower Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
15,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
27,03603002,03603800,Lower Hudson Valley,Manhattan,Drive Alone,90 Mins or More
13,03603201,03603700,Long Island,Bronx,Carpool,30 to 59 Mins
11,03603207,03604000,Long Island,Brooklyn,Drive Alone,60 to 89 Mins
13,03603202,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
12,03603102,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
23,03602902,03603800,Mid Hudson Valley,Manhattan,Drive Alone,Less than 30 Mins
5,03603305,03603800,Long Island,Manhattan,Rail,90 Mins or More
6,03603305,03603800,Long Island,Manhattan,Drive Alone,90 Mins or More
14,03603107,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
8,03603309,03604100,Long Island,Queens,Drive Alone,90 Mins or More
13,03603212,03603800,Long Island,Manhattan,Rail,90 Mins or More
18,03603212,03603800,Long Island,Manhattan,Rail,90 Mins or More
19,03603212,03604000,Long Island,Brooklyn,Rail,60 to 89 Mins
30,03603106,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
42,03603106,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
8,03603201,03603800,Long Island,Manhattan,Rail,90 Mins or More
7,03603201,03603800,Long Island,Manhattan,Drive Alone,60 to 89 Mins
12,03603204,03603800,Long Island,Manhattan,Subway,90 Mins or More
11,03603204,03603800,Long Island,Manhattan,Subway,90 Mins or More
8,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,90 Mins or More
21,03603107,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
4,03603304,03603800,Long Island,Manhattan,Rail,90 Mins or More
9,03603301,03603800,Long Island,Manhattan,Carpool,90 Mins or More
14,03603102,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
11,03603206,03603700,Long Island,Bronx,Carpool,90 Mins or More
18,03603201,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
21,03603201,03604000,Long Island,Brooklyn,Rail,60 to 89 Mins
11,03603202,03604100,Long Island,Queens,Drive Alone,60 to 89 Mins
17,03603201,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
11,03603205,03604100,Long Island,Queens,Drive Alone,60 to 89 Mins
11,03603205,03603800,Long Island,Manhattan,Drive Alone,30 to 59 Mins
7,03603106,03603700,Lower Hudson Valley,Bronx,Carpool,60 to 89 Mins
8,03603106,03603700,Lower Hudson Valley,Bronx,Carpool,30 to 59 Mins
12,03603312,03603800,Long Island,Manhattan,Rail,90 Mins or More
26,03603102,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
15,03603003,03603800,Lower Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
20,03603203,03604000,Long Island,Brooklyn,Drive Alone,30 to 59 Mins
10,03603305,03603800,Long Island,Manhattan,Drive Alone,Less than 30 Mins
11,03603210,03604100,Long Island,Queens,Carpool,30 to 59 Mins
25,03603104,03603800,Lower Hudson Valley,Manhattan,Rail,60 to 89 Mins
9,03603105,03603800,Lower Hudson Valley,Manhattan,Rail,30 to 59 Mins
20,03603211,03604000,Long Island,Brooklyn,Rail,90 Mins or More
22,03603211,03604100,Long Island,Queens,Drive Alone,60 to 89 Mins
21,03603101,03603700,Lower Hudson Valley,Bronx,Drive Alone,60 to 89 Mins
24,03603105,03603800,Lower Hudson Valley,Manhattan,Carpool,90 Mins or More
19,03603201,03604100,Long Island,Queens,Drive Alone,60 to 89 Mins
17,03603107,03603800,Lower Hudson Valley,Manhattan,Subway,90 Mins or More
22,03603208,03604100,Long Island,Queens,Drive Alone,Less than 30 Mins
25,03603313,03604100,Long Island,Queens,Drive Alone,90 Mins or More
56,03603106,03603800,Lower Hudson Valley,Manhattan,Drive Alone,30 to 59 Mins
9,03603106,03603700,Lower Hudson Valley,Bronx,Carpool,Less than 30 Mins
11,03603106,03603700,Lower Hudson Valley,Bronx,Drive Alone,Less than 30 Mins
25,03603102,03603700,Lower Hudson Valley,Bronx,Drive Alone,30 to 59 Mins
13,03603102,03603800,Lower Hudson Valley,Manhattan,Other,Less than 30 Mins
23,03603308,03603800,Long Island,Manhattan,Rail,90 Mins or More
13,03603205,03604100,Long Island,Queens,Drive Alone,90 Mins or More
17,03603205,03603800,Long Island,Manhattan,Rail,90 Mins or More
66,03603106,03603700,Lower Hudson Valley,Bronx,Rail,60 to 89 Mins
7,03603203,03603800,Long Island,Manhattan,Rail,60 to 89 Mins
12,03603001,03603700,Lower Hudson Valley,Bronx,Drive Alone,60 to 89 Mins
9,03603202,03604000,Long Island,Brooklyn,Rail,90 Mins or More
53,03603308,03603800,Long Island,Manhattan,Drive Alone,90 Mins or More
4,03603304,03603800,Long Island,Manhattan,Subway,30 to 59 Mins
28,03603207,03603800,Long Island,Manhattan,Rail,90 Mins or More
48,03603302,03604000,Long Island,Brooklyn,Drive Alone,60 to 89 Mins
6,03602701,03603900,Mid Hudson Valley,Staten Island,Drive Alone,30 to 59 Mins
12,03603301,03603800,Long Island,Manhattan,Rail,90 Mins or More
