PWGTP,RES,POW
13,Mid-Hudson,Manhattan
16,Mid-Hudson,Manhattan
19,Mid-Hudson,Bronx
14,Mid-Hudson,Manhattan
10,New York Other,Manhattan
16,Long Island,Manhattan
10,Long Island,Brooklyn
12,Long Island,Queens
20,Long Island,Queens
14,Long Island,Queens
15,Long Island,Queens
49,Long Island,Manhattan
91,Mid-Hudson,Manhattan
90,Mid-Hudson,Manhattan
9,Long Island,Manhattan
13,Mid-Hudson,Manhattan
12,Mid-Hudson,Queens
82,Long Island,Manhattan
6,Long Island,Manhattan
13,Long Island,Manhattan
17,Long Island,Manhattan
34,Long Island,Manhattan
15,Mid-Hudson,Manhattan
13,Long Island,Queens
17,Long Island,Manhattan
18,Mid-Hudson,Manhattan
17,Long Island,Queens
19,Long Island,Queens
18,Mid-Hudson,Manhattan
17,Mid-Hudson,Manhattan
18,Long Island,Manhattan
23,Long Island,Manhattan
37,Long Island,Queens
11,Mid-Hudson,Bronx
12,Mid-Hudson,Manhattan
35,Long Island,Queens
42,Mid-Hudson,Bronx
21,Long Island,Manhattan
14,Long Island,Manhattan
14,Long Island,Queens
13,Long Island,Queens
14,Mid-Hudson,Brooklyn
18,Mid-Hudson,Manhattan
5,Long Island,Manhattan
4,Long Island,Manhattan
16,Long Island,Queens
10,Long Island,Manhattan
10,Long Island,Manhattan
6,Long Island,Queens
6,Long Island,Manhattan
29,Mid-Hudson,Manhattan
16,Mid-Hudson,Manhattan
19,Mid-Hudson,Bronx
15,Mid-Hudson,Queens
12,Long Island,Queens
12,Long Island,Queens
26,Long Island,Manhattan
15,Mid-Hudson,Manhattan
22,Mid-Hudson,Manhattan
24,Mid-Hudson,Bronx
33,Mid-Hudson,Bronx
13,Long Island,Queens
8,Long Island,Manhattan
8,Long Island,Manhattan
22,Long Island,Queens
21,Mid-Hudson,Manhattan
20,Mid-Hudson,Manhattan
49,Long Island,Queens
19,Mid-Hudson,Manhattan
18,Mid-Hudson,Staten Island
26,Mid-Hudson,Manhattan
19,Long Island,Queens
21,Long Island,Queens
8,Long Island,Brooklyn
15,Long Island,Manhattan
18,Mid-Hudson,Manhattan
22,Long Island,Manhattan
23,Long Island,Queens
13,Long Island,Manhattan
14,Mid-Hudson,Bronx
15,Long Island,Brooklyn
22,Long Island,Manhattan
20,Long Island,Queens
27,Long Island,Manhattan
13,Long Island,Queens
13,Long Island,Queens
15,Long Island,Queens
20,Mid-Hudson,Manhattan
32,Mid-Hudson,Bronx
26,Long Island,Manhattan
27,Long Island,Manhattan
20,Mid-Hudson,Brooklyn
4,Long Island,Manhattan
5,Long Island,Queens
26,Mid-Hudson,Bronx
17,Mid-Hudson,Manhattan
22,Mid-Hudson,Manhattan
17,Mid-Hudson,Manhattan
96,Mid-Hudson,Bronx
20,Long Island,Manhattan
14,Long Island,Manhattan
4,New York Other,Queens
15,Long Island,Queens
12,Long Island,Manhattan
9,Mid-Hudson,Manhattan
13,Mid-Hudson,Manhattan
12,Long Island,Manhattan
9,Long Island,Manhattan
24,Long Island,Queens
16,Mid-Hudson,Manhattan
34,Long Island,Manhattan
23,Mid-Hudson,Manhattan
12,Long Island,Manhattan
14,Mid-Hudson,Manhattan
32,Long Island,Manhattan
9,Long Island,Manhattan
20,Long Island,Queens
13,Mid-Hudson,Bronx
11,Mid-Hudson,Bronx
17,Mid-Hudson,Manhattan
19,Long Island,Queens
16,Long Island,Queens
29,Mid-Hudson,Manhattan
4,Long Island,Manhattan
15,Long Island,Queens
14,Mid-Hudson,Manhattan
24,Long Island,Manhattan
14,Mid-Hudson,Manhattan
25,Long Island,Queens
19,Long Island,Queens
13,Long Island,Manhattan
7,Mid-Hudson,Manhattan
7,Long Island,Queens
16,Long Island,Manhattan
10,Long Island,Manhattan
16,Mid-Hudson,Bronx
13,Long Island,Manhattan
17,Long Island,Manhattan
19,Long Island,Brooklyn
34,Mid-Hudson,Manhattan
14,Long Island,Queens
13,Long Island,Queens
14,Long Island,Manhattan
14,Mid-Hudson,Manhattan
14,Long Island,Brooklyn
13,Long Island,Manhattan
5,Long Island,Brooklyn
4,Long Island,Queens
11,Long Island,Manhattan
23,Long Island,Manhattan
9,Mid-Hudson,Bronx
14,Mid-Hudson,Bronx
13,Long Island,Manhattan
17,Long Island,Manhattan
21,Long Island,Brooklyn
14,Long Island,Manhattan
11,Long Island,Manhattan
28,Mid-Hudson,Manhattan
15,Mid-Hudson,Queens
30,Mid-Hudson,Manhattan
12,Long Island,Manhattan
9,Mid-Hudson,Bronx
29,Long Island,Brooklyn
19,Long Island,Manhattan
18,Long Island,Manhattan
12,Mid-Hudson,Manhattan
18,Mid-Hudson,Manhattan
20,Mid-Hudson,Manhattan
36,Long Island,Brooklyn
31,Long Island,Manhattan
15,Long Island,Manhattan
14,Mid-Hudson,Bronx
18,Mid-Hudson,Manhattan
16,Mid-Hudson,Brooklyn
17,Long Island,Manhattan
13,Long Island,Queens
13,Long Island,Queens
15,Long Island,Manhattan
65,Long Island,Manhattan
65,Long Island,Manhattan
10,Long Island,Queens
20,Mid-Hudson,Manhattan
14,Mid-Hudson,Manhattan
15,Long Island,Brooklyn
18,Mid-Hudson,Manhattan
18,Mid-Hudson,Manhattan
17,Mid-Hudson,Manhattan
21,Mid-Hudson,Bronx
4,Long Island,Manhattan
48,Long Island,Queens
42,Long Island,Queens
16,Long Island,Brooklyn
19,Long Island,Manhattan
8,Mid-Hudson,Manhattan
32,Long Island,Manhattan
42,Mid-Hudson,Manhattan
37,Mid-Hudson,Brooklyn
14,Long Island,Queens
18,Long Island,Queens
11,Long Island,Manhattan
14,Long Island,Bronx
22,Mid-Hudson,Manhattan
7,Mid-Hudson,Queens
14,Mid-Hudson,Bronx
9,Long Island,Queens
11,Mid-Hudson,Bronx
14,Long Island,Queens
9,Mid-Hudson,Manhattan
25,Mid-Hudson,Manhattan
45,Long Island,Queens
13,Long Island,Brooklyn
17,Mid-Hudson,Manhattan
14,Mid-Hudson,Brooklyn
17,Long Island,Queens
23,Long Island,Brooklyn
21,Mid-Hudson,Brooklyn
8,Long Island,Manhattan
30,Long Island,Queens
17,Mid-Hudson,Queens
24,Mid-Hudson,Manhattan
9,Long Island,Manhattan
13,Long Island,Queens
15,Long Island,Queens
17,Long Island,Manhattan
20,Long Island,Queens
23,Long Island,Queens
35,New York Other,Manhattan
25,Mid-Hudson,Queens
13,Mid-Hudson,Bronx
4,Long Island,Manhattan
23,Mid-Hudson,Brooklyn
21,Mid-Hudson,Manhattan
30,Long Island,Manhattan
16,Mid-Hudson,Manhattan
14,Mid-Hudson,Manhattan
14,Long Island,Manhattan
11,Long Island,Manhattan
23,Mid-Hudson,Bronx
9,New York Other,Brooklyn
6,New York Other,Brooklyn
14,Mid-Hudson,Manhattan
14,Long Island,Manhattan
3,Long Island,Manhattan
27,Long Island,Manhattan
37,Long Island,Queens
39,Long Island,Brooklyn
22,Long Island,Queens
12,Long Island,Manhattan
5,Long Island,Queens
15,Long Island,Queens
13,Mid-Hudson,Brooklyn
9,Mid-Hudson,Manhattan
8,Long Island,Queens
11,Mid-Hudson,Manhattan
21,Mid-Hudson,Manhattan
9,Long Island,Manhattan
27,Mid-Hudson,Bronx
21,Long Island,Queens
25,Mid-Hudson,Manhattan
21,Long Island,Manhattan
15,Long Island,Manhattan
14,Mid-Hudson,Manhattan
12,Long Island,Manhattan
26,Mid-Hudson,Bronx
31,Mid-Hudson,Brooklyn
42,Mid-Hudson,Manhattan
5,Long Island,Manhattan
7,Long Island,Brooklyn
19,Mid-Hudson,Queens
13,Mid-Hudson,Manhattan
14,Mid-Hudson,Manhattan
15,Mid-Hudson,Manhattan
9,Mid-Hudson,Manhattan
10,Mid-Hudson,Manhattan
43,Long Island,Manhattan
33,Long Island,Queens
9,Long Island,Manhattan
53,Long Island,Queens
12,Long Island,Manhattan
30,Long Island,Manhattan
13,Mid-Hudson,Manhattan
13,Mid-Hudson,Manhattan
14,Long Island,Manhattan
14,Long Island,Manhattan
18,Mid-Hudson,Manhattan
11,Long Island,Manhattan
13,Long Island,Manhattan
18,Mid-Hudson,Bronx
14,Mid-Hudson,Bronx
51,Long Island,Manhattan
69,Mid-Hudson,Bronx
29,Long Island,Manhattan
10,Long Island,Manhattan
13,Mid-Hudson,Manhattan
23,Mid-Hudson,Manhattan
17,Long Island,Manhattan
28,Long Island,Queens
14,Long Island,Queens
34,Long Island,Brooklyn
5,Long Island,Manhattan
9,Long Island,Brooklyn
34,Mid-Hudson,Manhattan
12,Long Island,Manhattan
16,Long Island,Queens
13,Long Island,Manhattan
15,Long Island,Manhattan
12,Mid-Hudson,Bronx
4,Long Island,Manhattan
21,Long Island,Queens
21,Long Island,Queens
13,Mid-Hudson,Manhattan
40,Mid-Hudson,Manhattan
17,Long Island,Queens
20,Mid-Hudson,Manhattan
38,Mid-Hudson,Manhattan
40,Long Island,Manhattan
13,Long Island,Queens
15,Mid-Hudson,Manhattan
15,Long Island,Manhattan
19,Mid-Hudson,Manhattan
13,Long Island,Manhattan
18,Long Island,Manhattan
17,Long Island,Manhattan
48,Mid-Hudson,Bronx
15,Mid-Hudson,Manhattan
21,Mid-Hudson,Manhattan
18,Long Island,Bronx
29,Mid-Hudson,Bronx
18,Mid-Hudson,Manhattan
7,Long Island,Manhattan
9,Long Island,Manhattan
23,Long Island,Manhattan
30,Mid-Hudson,Manhattan
22,Long Island,Manhattan
18,Long Island,Manhattan
34,Long Island,Brooklyn
14,Long Island,Manhattan
12,Long Island,Queens
12,New York Other,Manhattan
15,New York Other,Manhattan
14,Mid-Hudson,Manhattan
28,Mid-Hudson,Manhattan
17,Mid-Hudson,Manhattan
11,Long Island,Manhattan
20,Mid-Hudson,Manhattan
23,Long Island,Queens
15,Long Island,Brooklyn
13,Long Island,Brooklyn
15,New York Other,Brooklyn
5,Long Island,Manhattan
18,Long Island,Queens
15,Mid-Hudson,Bronx
39,Mid-Hudson,Manhattan
70,Mid-Hudson,Bronx
15,Mid-Hudson,Manhattan
37,Long Island,Manhattan
39,Long Island,Manhattan
10,Long Island,Manhattan
12,Long Island,Manhattan
16,Mid-Hudson,Manhattan
10,Mid-Hudson,Bronx
16,Mid-Hudson,Bronx
17,Mid-Hudson,Bronx
19,Mid-Hudson,Bronx
18,Mid-Hudson,Manhattan
27,Mid-Hudson,Bronx
23,New York Other,Queens
4,Long Island,Manhattan
4,Long Island,Manhattan
23,Long Island,Queens
13,Long Island,Manhattan
14,Long Island,Queens
9,Long Island,Manhattan
10,Long Island,Manhattan
14,Mid-Hudson,Manhattan
19,Mid-Hudson,Brooklyn
24,Long Island,Queens
33,New York Other,Queens
13,Long Island,Manhattan
4,Long Island,Manhattan
14,Mid-Hudson,Manhattan
7,Long Island,Queens
16,Long Island,Queens
19,Long Island,Queens
14,Long Island,Manhattan
14,Mid-Hudson,Bronx
36,Mid-Hudson,Brooklyn
13,Long Island,Queens
14,Long Island,Manhattan
38,Mid-Hudson,Bronx
14,Long Island,Manhattan
24,Mid-Hudson,Manhattan
12,Mid-Hudson,Manhattan
13,Mid-Hudson,Manhattan
34,Long Island,Manhattan
13,Long Island,Queens
13,Long Island,Queens
40,Long Island,Manhattan
11,Mid-Hudson,Brooklyn
16,Mid-Hudson,Brooklyn
20,Mid-Hudson,Manhattan
5,New York Other,Manhattan
49,Long Island,Manhattan
4,Mid-Hudson,Manhattan
14,Long Island,Queens
14,Mid-Hudson,Brooklyn
13,Long Island,Manhattan
17,Long Island,Manhattan
15,Mid-Hudson,Manhattan
15,Long Island,Manhattan
2,Long Island,Brooklyn
8,Long Island,Queens
9,Long Island,Queens
16,Mid-Hudson,Brooklyn
32,Mid-Hudson,Manhattan
41,Mid-Hudson,Manhattan
42,Mid-Hudson,Manhattan
32,Mid-Hudson,Manhattan
24,Long Island,Queens
15,Mid-Hudson,Manhattan
16,Mid-Hudson,Manhattan
4,Mid-Hudson,Manhattan
14,Long Island,Manhattan
13,Long Island,Queens
18,Long Island,Manhattan
19,Long Island,Manhattan
28,Long Island,Queens
15,Mid-Hudson,Manhattan
16,Mid-Hudson,Manhattan
16,Long Island,Manhattan
47,Long Island,Brooklyn
37,Long Island,Brooklyn
65,Long Island,Manhattan
13,Long Island,Manhattan
13,Long Island,Brooklyn
22,Long Island,Manhattan
2,New York Other,Queens
12,Mid-Hudson,Manhattan
16,Long Island,Manhattan
24,Long Island,Brooklyn
13,Long Island,Queens
26,Mid-Hudson,Bronx
23,Long Island,Manhattan
28,Long Island,Manhattan
29,Long Island,Queens
9,Mid-Hudson,Manhattan
9,Mid-Hudson,Manhattan
10,Mid-Hudson,Manhattan
19,Long Island,Queens
22,Long Island,Manhattan
4,Long Island,Manhattan
16,Mid-Hudson,Manhattan
32,Mid-Hudson,Bronx
12,Long Island,Brooklyn
15,Long Island,Manhattan
16,Mid-Hudson,Bronx
16,Mid-Hudson,Manhattan
15,Mid-Hudson,Manhattan
42,Long Island,Manhattan
41,Long Island,Manhattan
10,Long Island,Queens
25,Long Island,Queens
14,Long Island,Queens
28,Long Island,Manhattan
11,Mid-Hudson,Manhattan
11,Mid-Hudson,Queens
9,Mid-Hudson,Bronx
22,Long Island,Queens
52,Long Island,Manhattan
15,Long Island,Queens
33,Long Island,Queens
10,Mid-Hudson,Queens
10,Mid-Hudson,Bronx
13,Mid-Hudson,Bronx
16,Long Island,Manhattan
18,Long Island,Manhattan
10,Long Island,Manhattan
10,Long Island,Manhattan
11,Long Island,Manhattan
17,Long Island,Manhattan
15,Long Island,Queens
19,Long Island,Queens
17,Long Island,Manhattan
14,Long Island,Queens
4,Long Island,Manhattan
25,Long Island,Queens
21,Long Island,Queens
38,Mid-Hudson,Manhattan
14,Long Island,Brooklyn
35,Mid-Hudson,Manhattan
10,Long Island,Manhattan
19,Mid-Hudson,Manhattan
21,Mid-Hudson,Manhattan
11,Mid-Hudson,Bronx
14,Mid-Hudson,Manhattan
17,New York Other,Queens
28,Mid-Hudson,Manhattan
8,Long Island,Queens
16,Long Island,Queens
17,Mid-Hudson,Manhattan
23,Mid-Hudson,Manhattan
17,Long Island,Queens
19,Long Island,Queens
11,Long Island,Queens
13,Long Island,Brooklyn
15,Long Island,Manhattan
14,Mid-Hudson,Manhattan
17,Mid-Hudson,Manhattan
11,Mid-Hudson,Bronx
12,Long Island,Queens
4,Long Island,Brooklyn
70,Mid-Hudson,Bronx
13,Long Island,Manhattan
69,Long Island,Brooklyn
28,Mid-Hudson,Bronx
15,Long Island,Brooklyn
33,Mid-Hudson,Brooklyn
13,Mid-Hudson,Manhattan
59,Long Island,Manhattan
18,Long Island,Queens
27,Long Island,Manhattan
23,Long Island,Manhattan
16,Long Island,Brooklyn
15,Long Island,Manhattan
10,Mid-Hudson,Bronx
9,Mid-Hudson,Bronx
14,Mid-Hudson,Bronx
13,Long Island,Manhattan
6,Long Island,Manhattan
13,Mid-Hudson,Manhattan
8,Long Island,Queens
4,Long Island,Queens
3,Long Island,Manhattan
13,New York Other,Manhattan
6,Mid-Hudson,Brooklyn
19,Long Island,Manhattan
28,Long Island,Queens
16,Long Island,Manhattan
16,Long Island,Queens
11,Long Island,Manhattan
18,Long Island,Manhattan
29,Mid-Hudson,Manhattan
13,Long Island,Queens
14,Long Island,Queens
13,New York Other,Brooklyn
12,Mid-Hudson,Manhattan
22,Long Island,Brooklyn
22,Mid-Hudson,Queens
15,Mid-Hudson,Manhattan
32,Mid-Hudson,Bronx
10,Long Island,Manhattan
10,Long Island,Bronx
28,Long Island,Queens
27,Long Island,Manhattan
12,Mid-Hudson,Brooklyn
16,Long Island,Manhattan
14,Long Island,Manhattan
16,Long Island,Manhattan
9,Long Island,Queens
43,Long Island,Brooklyn
38,Long Island,Queens
15,Mid-Hudson,Bronx
14,Mid-Hudson,Bronx
9,Long Island,Manhattan
43,Mid-Hudson,Bronx
100,Long Island,Manhattan
13,Long Island,Manhattan
15,Long Island,Manhattan
16,Long Island,Queens
14,Long Island,Manhattan
19,Mid-Hudson,Manhattan
19,Mid-Hudson,Manhattan
25,Long Island,Queens
11,Mid-Hudson,Bronx
12,Mid-Hudson,Brooklyn
14,Long Island,Manhattan
15,Long Island,Queens
14,Mid-Hudson,Manhattan
12,Long Island,Queens
17,Long Island,Brooklyn
11,Mid-Hudson,Manhattan
12,Mid-Hudson,Manhattan
11,Long Island,Queens
13,Long Island,Brooklyn
10,Long Island,Queens
12,Long Island,Queens
14,Long Island,Queens
14,Long Island,Queens
15,Long Island,Queens
14,Long Island,Manhattan
6,Long Island,Manhattan
21,Mid-Hudson,Queens
34,Long Island,Queens
14,Long Island,Staten Island
17,Long Island,Queens
12,Long Island,Brooklyn
16,Long Island,Brooklyn
18,Mid-Hudson,Manhattan
68,Mid-Hudson,Bronx
20,Mid-Hudson,Bronx
24,Mid-Hudson,Bronx
32,Mid-Hudson,Manhattan
40,Mid-Hudson,Manhattan
24,Mid-Hudson,Brooklyn
54,Mid-Hudson,Queens
13,Mid-Hudson,Manhattan
22,Mid-Hudson,Manhattan
8,Mid-Hudson,Manhattan
6,Long Island,Manhattan
14,Mid-Hudson,Manhattan
12,Mid-Hudson,Manhattan
21,Mid-Hudson,Bronx
14,Mid-Hudson,Manhattan
14,Long Island,Brooklyn
42,Mid-Hudson,Manhattan
10,Mid-Hudson,Bronx
16,Mid-Hudson,Manhattan
15,Mid-Hudson,Manhattan
17,Mid-Hudson,Bronx
18,Mid-Hudson,Bronx
30,Mid-Hudson,Bronx
16,Long Island,Queens
11,Long Island,Brooklyn
12,Long Island,Queens
10,Long Island,Manhattan
18,Long Island,Brooklyn
13,Long Island,Queens
24,Long Island,Brooklyn
15,Mid-Hudson,Staten Island
24,Mid-Hudson,Manhattan
27,Mid-Hudson,Bronx
14,Mid-Hudson,Manhattan
15,Long Island,Manhattan
36,Long Island,Manhattan
8,Mid-Hudson,Manhattan
8,Mid-Hudson,Manhattan
11,Long Island,Manhattan
19,Mid-Hudson,Staten Island
14,Mid-Hudson,Bronx
11,Long Island,Manhattan
19,Mid-Hudson,Bronx
19,Mid-Hudson,Manhattan
13,Long Island,Queens
18,Mid-Hudson,Bronx
7,Mid-Hudson,Manhattan
21,Long Island,Queens
14,Long Island,Queens
13,Mid-Hudson,Manhattan
17,Long Island,Brooklyn
23,Long Island,Queens
23,Mid-Hudson,Manhattan
14,Long Island,Queens
100,Long Island,Manhattan
9,Mid-Hudson,Manhattan
14,Long Island,Brooklyn
7,Long Island,Brooklyn
13,Mid-Hudson,Manhattan
17,Long Island,Manhattan
13,Mid-Hudson,Manhattan
9,Long Island,Manhattan
17,Long Island,Manhattan
16,Long Island,Queens
39,Mid-Hudson,Manhattan
66,Mid-Hudson,Manhattan
69,Mid-Hudson,Manhattan
20,Long Island,Manhattan
2,Long Island,Manhattan
62,Long Island,Queens
32,Long Island,Queens
23,Long Island,Manhattan
16,Mid-Hudson,Brooklyn
18,Mid-Hudson,Brooklyn
13,Mid-Hudson,Manhattan
13,Long Island,Queens
18,Mid-Hudson,Bronx
17,Mid-Hudson,Manhattan
13,Mid-Hudson,Queens
12,Long Island,Queens
70,Long Island,Brooklyn
10,Mid-Hudson,Bronx
38,Mid-Hudson,Manhattan
23,Mid-Hudson,Manhattan
31,Mid-Hudson,Bronx
13,Long Island,Manhattan
16,Long Island,Manhattan
26,Long Island,Manhattan
16,Mid-Hudson,Manhattan
18,Long Island,Queens
18,Long Island,Manhattan
15,Long Island,Brooklyn
10,Long Island,Manhattan
14,Long Island,Queens
16,Long Island,Manhattan
12,Long Island,Queens
10,Long Island,Manhattan
16,Mid-Hudson,Manhattan
6,Mid-Hudson,Manhattan
36,Mid-Hudson,Manhattan
26,Long Island,Queens
18,Long Island,Manhattan
11,Mid-Hudson,Manhattan
8,Long Island,Brooklyn
23,Long Island,Queens
15,Long Island,Manhattan
23,Long Island,Manhattan
46,Long Island,Queens
23,Long Island,Brooklyn
34,Long Island,Manhattan
42,Long Island,Manhattan
14,Mid-Hudson,Manhattan
22,Mid-Hudson,Bronx
13,Long Island,Queens
14,Long Island,Manhattan
13,Long Island,Brooklyn
12,Long Island,Bronx
24,Long Island,Queens
14,New York Other,Brooklyn
17,Mid-Hudson,Bronx
19,Long Island,Brooklyn
19,Mid-Hudson,Bronx
9,Long Island,Manhattan
13,Long Island,Queens
19,Mid-Hudson,Manhattan
13,Mid-Hudson,Manhattan
44,Mid-Hudson,Manhattan
18,Long Island,Queens
43,Long Island,Manhattan
17,Long Island,Manhattan
3,Long Island,Manhattan
3,Long Island,Manhattan
15,Long Island,Queens
15,Long Island,Manhattan
14,Mid-Hudson,Brooklyn
18,Long Island,Queens
31,Mid-Hudson,Brooklyn
16,Mid-Hudson,Manhattan
18,Mid-Hudson,Manhattan
13,Mid-Hudson,Bronx
13,Mid-Hudson,Manhattan
20,Mid-Hudson,Manhattan
42,Long Island,Manhattan
15,Long Island,Manhattan
23,Long Island,Queens
51,Long Island,Queens
35,Long Island,Queens
33,Mid-Hudson,Manhattan
15,Long Island,Queens
46,Long Island,Queens
16,Mid-Hudson,Manhattan
23,Long Island,Manhattan
20,Long Island,Manhattan
27,New York Other,Manhattan
19,Mid-Hudson,Brooklyn
10,Long Island,Manhattan
51,Long Island,Queens
34,Long Island,Manhattan
43,Long Island,Manhattan
16,Long Island,Manhattan
13,Long Island,Manhattan
13,Mid-Hudson,Bronx
29,Long Island,Queens
17,Long Island,Queens
26,Long Island,Manhattan
15,Long Island,Manhattan
17,Long Island,Brooklyn
21,Mid-Hudson,Manhattan
19,Mid-Hudson,Bronx
18,Mid-Hudson,Manhattan
17,Mid-Hudson,Manhattan
79,Mid-Hudson,Bronx
7,Long Island,Bronx
25,Long Island,Manhattan
15,Long Island,Queens
24,Long Island,Brooklyn
28,Mid-Hudson,Bronx
16,Mid-Hudson,Manhattan
19,Mid-Hudson,Bronx
34,Long Island,Queens
32,Long Island,Queens
12,Long Island,Manhattan
24,Long Island,Manhattan
15,Long Island,Manhattan
12,Long Island,Manhattan
24,Mid-Hudson,Bronx
17,Mid-Hudson,Manhattan
8,Mid-Hudson,Manhattan
15,Mid-Hudson,Manhattan
31,Mid-Hudson,Manhattan
23,Long Island,Manhattan
26,Mid-Hudson,Manhattan
23,Long Island,Manhattan
22,Long Island,Manhattan
17,Mid-Hudson,Manhattan
60,Long Island,Queens
11,Long Island,Manhattan
12,Long Island,Queens
14,Mid-Hudson,Manhattan
13,Long Island,Queens
51,Mid-Hudson,Manhattan
40,Mid-Hudson,Queens
68,Mid-Hudson,Queens
18,Mid-Hudson,Manhattan
43,Long Island,Queens
9,Long Island,Manhattan
14,Mid-Hudson,Manhattan
38,Mid-Hudson,Manhattan
39,Long Island,Manhattan
6,Long Island,Manhattan
23,Long Island,Brooklyn
40,Mid-Hudson,Queens
16,Long Island,Manhattan
15,Mid-Hudson,Manhattan
69,Long Island,Manhattan
19,Long Island,Manhattan
15,Long Island,Queens
30,Mid-Hudson,Bronx
16,Long Island,Queens
18,Long Island,Manhattan
55,Mid-Hudson,Brooklyn
15,Long Island,Manhattan
35,Long Island,Manhattan
15,Long Island,Manhattan
14,Long Island,Brooklyn
14,Long Island,Queens
4,Mid-Hudson,Queens
12,Mid-Hudson,Manhattan
12,Long Island,Manhattan
18,Long Island,Manhattan
76,Mid-Hudson,Manhattan
107,Mid-Hudson,Manhattan
53,Long Island,Manhattan
18,Long Island,Manhattan
13,Long Island,Brooklyn
18,Long Island,Brooklyn
18,Long Island,Manhattan
16,Mid-Hudson,Manhattan
18,Mid-Hudson,Manhattan
21,Mid-Hudson,Manhattan
43,Long Island,Manhattan
66,Long Island,Manhattan
32,Long Island,Manhattan
33,Long Island,Manhattan
26,Long Island,Brooklyn
11,Long Island,Manhattan
7,Long Island,Manhattan
16,Mid-Hudson,Queens
20,Mid-Hudson,Bronx
15,Long Island,Manhattan
56,Mid-Hudson,Bronx
12,Mid-Hudson,Bronx
25,Mid-Hudson,Bronx
26,Long Island,Queens
34,Long Island,Queens
43,Long Island,Brooklyn
18,Mid-Hudson,Queens
43,Long Island,Manhattan
15,Long Island,Queens
14,Long Island,Manhattan
11,Long Island,Brooklyn
20,Long Island,Brooklyn
25,Long Island,Manhattan
20,Long Island,Queens
24,Long Island,Queens
24,Long Island,Manhattan
32,Mid-Hudson,Manhattan
13,Long Island,Queens
17,Long Island,Manhattan
21,Long Island,Manhattan
12,Mid-Hudson,Manhattan
13,Mid-Hudson,Manhattan
31,Long Island,Brooklyn
7,Mid-Hudson,Manhattan
45,Mid-Hudson,Manhattan
14,Long Island,Manhattan
24,Mid-Hudson,Manhattan
15,Long Island,Manhattan
26,Mid-Hudson,Bronx
37,New York Other,Manhattan
4,Long Island,Queens
16,Long Island,Queens
16,Mid-Hudson,Manhattan
13,Mid-Hudson,Bronx
13,Long Island,Queens
13,Mid-Hudson,Manhattan
12,Long Island,Queens
14,Long Island,Manhattan
12,Long Island,Queens
7,Mid-Hudson,Manhattan
7,Mid-Hudson,Manhattan
22,Mid-Hudson,Manhattan
15,Mid-Hudson,Manhattan
9,Mid-Hudson,Manhattan
9,Long Island,Manhattan
12,Long Island,Manhattan
14,Long Island,Queens
21,Long Island,Queens
14,Long Island,Queens
17,Long Island,Queens
23,Long Island,Manhattan
22,Long Island,Queens
19,Mid-Hudson,Bronx
14,Mid-Hudson,Manhattan
16,Mid-Hudson,Manhattan
37,Long Island,Queens
46,Long Island,Manhattan
13,Long Island,Manhattan
24,Mid-Hudson,Bronx
16,Mid-Hudson,Bronx
21,Long Island,Brooklyn
81,Long Island,Manhattan
29,Long Island,Manhattan
15,Mid-Hudson,Brooklyn
27,Long Island,Manhattan
33,Mid-Hudson,Bronx
24,Long Island,Manhattan
25,Long Island,Queens
17,Mid-Hudson,Brooklyn
13,Mid-Hudson,Bronx
70,Mid-Hudson,Bronx
73,Mid-Hudson,Manhattan
13,Long Island,Manhattan
13,Long Island,Manhattan
13,Long Island,Manhattan
8,Mid-Hudson,Manhattan
20,Mid-Hudson,Bronx
38,Mid-Hudson,Manhattan
36,Mid-Hudson,Manhattan
18,Mid-Hudson,Manhattan
13,Long Island,Manhattan
13,Long Island,Manhattan
9,Long Island,Manhattan
22,Long Island,Manhattan
18,Long Island,Manhattan
44,Long Island,Manhattan
46,Long Island,Manhattan
42,Mid-Hudson,Bronx
44,Long Island,Brooklyn
53,Long Island,Manhattan
49,Long Island,Brooklyn
9,Long Island,Manhattan
12,Mid-Hudson,Bronx
25,Mid-Hudson,Manhattan
15,Mid-Hudson,Bronx
26,Mid-Hudson,Manhattan
35,Mid-Hudson,Manhattan
15,Long Island,Queens
12,Mid-Hudson,Bronx
15,Long Island,Queens
16,Long Island,Bronx
12,Long Island,Queens
15,Long Island,Manhattan
15,Long Island,Manhattan
15,Long Island,Queens
17,Long Island,Queens
16,Long Island,Queens
14,Long Island,Manhattan
13,Long Island,Manhattan
22,Mid-Hudson,Manhattan
25,Mid-Hudson,Manhattan
38,Mid-Hudson,Bronx
36,Mid-Hudson,Bronx
13,Mid-Hudson,Manhattan
20,Long Island,Manhattan
17,Mid-Hudson,Bronx
18,Mid-Hudson,Manhattan
12,Long Island,Manhattan
9,Long Island,Brooklyn
20,Mid-Hudson,Bronx
25,Mid-Hudson,Bronx
45,Long Island,Queens
15,Mid-Hudson,Manhattan
45,Mid-Hudson,Manhattan
13,Long Island,Queens
14,Mid-Hudson,Manhattan
40,Long Island,Queens
30,Long Island,Queens
20,Long Island,Manhattan
12,Long Island,Queens
15,Long Island,Manhattan
10,Mid-Hudson,Manhattan
19,Long Island,Queens
13,Mid-Hudson,Manhattan
14,Mid-Hudson,Queens
70,Long Island,Queens
18,Mid-Hudson,Manhattan
24,Mid-Hudson,Manhattan
22,Long Island,Queens
16,Mid-Hudson,Manhattan
15,Mid-Hudson,Manhattan
