Date,Subways: Total Estimated Ridership,Subways: Average Estimated Ridership ,Buses: Total Estimated Ridership,Buses: Average Estimated Ridership
5/2/2020,326354,419965,478600,487114
5/1/2020,495312,415606,555300,480286
4/30/2020,466633,408367,488800,468871
4/29/2020,478589,406605,519600,468657
4/28/2020,490073,403889,555600,468557
4/27/2020,463700,394287,518400,453600
4/26/2020,219096,390705,293500,450786
4/25/2020,295836,391512,430800,454300
4/24/2020,444644,385649,475400,443043
4/23/2020,454300,384001,487300,442314
4/22/2020,459574,379245,518900,436557
4/21/2020,422860,373571,450900,427300
4/20/2020,438622,374726,498700,430157
4/19/2020,224751,364060,318100,408600
4/18/2020,254792,360337,352000,403029
4/17/2020,433106,360720,470300,406771
4/16/2020,421013,356125,447000,398743
4/15/2020,419851,353884,454100,392300
4/14/2020,430946,355078,470900,389100
4/13/2020,363961,355760,347800,384829
4/12/2020,198693,367518,279100,400129
4/11/2020,257467,371648,378200,403057
4/10/2020,400947,375254,414100,403800
4/9/2020,405325,387147,401900,413757
4/8/2020,428206,398739,431700,423871
4/7/2020,435718,411024,441000,432971
4/6/2020,446273,421514,454900,443443
4/5/2020,227603,435811,299600,459014
4/4/2020,282703,441028,383400,460043
4/3/2020,484200,448212,483800,462943
4/2/2020,486468,473085,472700,485514
4/1/2020,514201,501007,495400,510286
3/31/2020,509149,526351,514300,527800
3/30/2020,546355,559803,563900,548300
3/29/2020,264119,583343,306800,550343
3/28/2020,332993,604093,403700,560643
3/27/2020,658312,645188,641800,583671
3/26/2020,681923,738608,646100,616071
3/25/2020,691604,844842,618000,657143
3/24/2020,743314,978815,657800,720214
3/23/2020,711138,1128821,578200,782657
3/22/2020,409364,1339272,378900,876814
3/21/2020,620662,1446375,564900,924343
3/20/2020,1312249,1596680,868600,985543
3/19/2020,1425564,1908754,933600,1106557
3/18/2020,1629413,2299912,1059500,1250100
3/17/2020,1793359,2740348,1094900,1400600
3/16/2020,2184296,3181814,1237300,1545900
3/15/2020,1159079,3582577,711600,1672686
3/14/2020,1672800,3720184,993300,1707771
3/13/2020,3496765,3883653,1715700,1744314
3/12/2020,4163674,4127648,1938400,1794457
3/11/2020,4712462,4320503,2113000,1838186
3/10/2020,4883623,4435286,2112000,1847357
3/9/2020,4989635,4523133,2124800,1864014
3/8/2020,2122328,4574193,957200,1876057
3/7/2020,2817082,4587375,1249100,1880014
3/6/2020,5204732,4882424,2066700,1985167
3/5/2020,5513656,4817963,2244500,1968860
3/4/2020,5515945,4644039,2177200,1899950
3/3/2020,5498556,4353404,2228600,1807533
3/2/2020,5347055,3780828,2209100,1597000
3/1/2020,2214601,2214601,984900,984900
