LocID,Boro,On,From,To,2007 Spring AM,2007 Fall AM,2008 Spring AM,2008 Fall AM,2009 Spring AM,2009 Fall AM,2010 Spring AM,2010 Fall AM,2011 Spring AM,2011 Fall AM,2012 Spring AM,2012 Fall AM,2013 Spring AM,2013 Fall AM,2014 Spring AM,2014 Fall AM,2015 Spring AM,2015 Fall AM,2016 Spring AM,2016 Fall AM,2017 Spring AM,2017 Fall AM,2018 Spring AM,2018 Fall AM,2019 Spring AM,2020 Fall AM,2021 Spring AM,2007 Spring PM,2007 Fall PM,2008 Spring PM,2008 Fall PM,2009 Spring PM,2009 Fall PM,2010 Spring PM,2010 Fall PM,2011 Spring PM,2011 Fall PM,2012 Spring PM,2012 Fall PM,2013 Spring PM,2013 Fall PM,2014 Spring PM,2014 Fall PM,2015 Spring PM,2015 Fall PM,2016 Spring PM,2016 Fall PM,2017 Spring PM,2017 Fall PM,2018 Spring PM,2018 Fall PM,2019 Spring PM,2020 Fall PM,2021 Spring PM,2007 Spring SAT,2007 Fall SAT,2008 Spring SAT,2008 Fall SAT,2009 Spring SAT,2009 Fall SAT,2010 Spring SAT,2010 Fall SAT,2011 Spring SAT,2011 Fall SAT,2012 Spring SAT,2012 Fall SAT,2013 Spring SAT,2013 Fall SAT,2014 Spring SAT,2014 Fall SAT,2015 Spring SAT,2015 Fall SAT,2016 Spring SAT,2016 Fall SAT,2017 Spring SAT,2017 Fall SAT,2018 Spring SAT,2018 Fall SAT,2019 Spring SAT,2020 Fall SAT,2021 Spring SAT
21,Brooklyn,Flatbush Avenue,Martense Street,Church Avenue,978,917,772,1101,795,1029,1311,1186,837,978,605,1011,1068,1046,912,960,858,1001,1280,1037,903,1032,1169,896,1216,479,626,5240,4188,3181,5312,5640,4897,4775,4813,3982,4959,482,4044,4481,4091,4854,3974,3832,4588,3936,4115,3955,4343,4352,3665,5613,2576,2617,5106,3097,2023,2351,1985,3047,2678,4735,2197,3917,1855,3530,3463,3695,2505,2338,3665,3058,3960,2642,3370,2716,3516,3299,4416,2102,2052
23,Brooklyn,Fulton Street,Lawrence Street,Bridge Street,1478,1803,1789,1673,1548,1330,1209,1271,1507,1507,1431,1791,1858,1981,1865,2014,2006,1671,2045,2289,1785,2003,1927,1935,1952,875,956,12249,14617,15733,9081,11949,11540,9358,10239,9556,8732,4254,9605,11211,11392,10265,11906,11648,10164,10872,10775,9793,11406,8871,9704,11619,5336,4438,7411,8643,5051,6790,6307,7892,7390,6091,6993,5690,3267,6033,6932,6045,6022,5999,7232,5037,6656,6572,6073,6445,6617,5455,6514,3863,4426
24,Brooklyn,Graham Avenue,Moore Street,Varet Street,864,854,740,793,1025,734,867,885,882,1031,886,995,818,905,995,944,742,477,742,855,845,1004,724,788,518,386,407,3732,3322,3066,2814,4689,3071,2880,2710,4629,4959,2172,4250,4435,3921,4051,4006,3493,2506,3431,2526,3061,4347,3197,2669,3124,2440,2335,2863,3785,2552,3020,3161,2370,2940,2807,2751,1953,607,4025,4035,3626,4952,3491,3812,2305,3438,2459,3576,1833,3287,3261,3233,2398,2102
28,Brooklyn,Montague Street,Henry Street,Clinton Street,1476,1438,1363,1547,1202,1249,1393,1365,1374,1595,1496,1482,1251,1247,1389,1235,1404,1501,1283,1577,1541,1519,1572,1563,1508,800,987,4567,4231,4318,3762,4089,3849,3896,5372,5441,4564,2920,4532,4861,3998,4766,3737,4932,4284,4017,3695,3588,4121,3732,3838,4199,2190,2228,2914,2842,2863,3672,3078,2520,3660,2802,3659,3754,3453,4419,3189,2795,2946,2920,3042,2182,3510,2156,3232,3219,3240,2738,3330,1901,1916
31,Brooklyn,Pitkin Avenue,Bristol Street,Hopkinson Avenue,572,686,546,658,601,664,669,980,666,518,627,840,744,1791,672,757,938,701,636,844,562,807,584,594,485,292,230,3355,3312,3372,2555,3753,3174,4368,2255,3112,1647,2010,3388,3365,3873,2262,2441,2343,2147,2763,2852,2708,2445,2856,2537,3071,2329,2030,2720,3131,3254,2584,1628,2270,3276,2530,2657,1230,2518,2534,2631,2863,1622,1922,2222,2251,2358,3258,2244,2582,2020,2240,2744,1805,1765
32,Brooklyn,Sheepshead Bay Road,East 14th Street ,East 15th Street,1580,1205,1579,1546,1582,1676,1614,1654,1554,1932,1881,1729,1541,1618,1418,1543,1576,1625,1845,1927,1849,1758,1730,1724,1514,691,770,2215,2953,3289,3624,3094,3513,3663,2423,3453,3776,2229,3396,2855,3041,2627,2706,3211,2555,2841,2664,2820,2840,2904,2663,2644,1952,1791,1785,1848,1781,2003,1967,1448,1784,1327,1893,1395,1706,1825,1271,1557,1366,1381,1220,1497,1365,1240,1374,1248,1449,938,1430,1103,953
72,Queens,37th Avenue,73rd Street,74th Street,1002,1159,1058,1592,1236,988,1113,1361,1406,1410,1244,918,1210,1349,1347,1720,1215,1193,1258,1332,1256,1378,1242,1341,681,532,613,4106,4398,4594,5184,4575,3551,4116,4279,5929,5977,3408,4761,3556,5683,4926,5356,4757,5667,5240,4646,4618,4375,4233,4960,4187,3816,4621,3142,3500,3367,3561,2782,2574,2710,3412,3648,2618,3457,3605,3188,3742,2877,2660,2564,2780,2319,2305,2495,2787,2949,2985,3023,2519,2525
73,Queens,82nd Street,37th Avenue,Roosevelt Avenue,1739,2933,2299,2130,2733,2545,2850,3949,2506,2649,2088,2642,2662,2674,2510,2888,2640,3047,2868,2905,2920,2776,2774,2739,2016,1211,1534,4753,8401,6851,3541,10839,7483,10144,14738,10249,9941,2972,8772,9288,8868,8668,8781,8479,8648,9190,8768,8534,8450,8927,8486,8641,5004,7625,3114,6054,2650,5198,6515,4969,7431,7602,5125,5022,5854,6132,6726,6825,4657,4539,5501,6037,5285,6429,6133,6170,4252,5238,5491,4168,3452
74,Queens,Austin Street,71st Ave,70th Road,622,514,1585,705,729,728,657,799,657,768,940,834,995,1166,787,840,1037,669,871,902,787,866,700,830,770,439,722,4356,3127,4355,4216,4351,4407,4232,4039,3971,4435,2985,4530,5334,5008,4128,4566,5267,3653,5007,3818,5835,4765,4454,4906,5059,3174,4396,2227,2891,2433,2469,2420,2891,2388,3631,4326,3200,3954,4376,5522,4238,3621,3357,4120,3956,3938,3199,4623,2387,4273,2908,3635,2269,2219
77,Queens,Hillside Avenue,169th Street,170th Street,1693,1429,836,923,799,826,889,977,991,1069,902,1063,1211,930,1314,668,824,982,988,959,824,1131,1015,1221,936,417,519,3280,2988,3442,3784,3564,3811,3747,3997,3977,3531,1904,3427,2973,3392,4635,3240,3709,4146,3577,3719,3545,1691,2556,2820,2520,2194,2334,2006,2165,1693,1553,1854,2184,2154,1710,2348,1453,2388,1615,1509,1943,1970,1791,1899,1805,1712,1668,2480,1146,2657,2032,1537,1415,1271
