"Date","Subway","Subway7DayAverage"
2020-12-13,911519,1495173.42857143
2020-12-14,1587068,1484778
2020-12-15,1786741,1519444.14285714
2020-12-16,1571978,1500418.28571429
2020-12-17,1081431,1402811
2020-12-18,1738727,1395548
2020-12-19,1112852,1398616.57142857
2020-12-20,822001,1385828.28571429
2020-12-21,1719279,1404715.57142857
2020-12-22,1764202,1401495.71428571
2020-12-23,1775738,1430604.28571429
2020-12-24,1314656,1463922.14285714
2020-12-25,485839,1284938.14285714
2020-12-26,880184,1251699.85714286
2020-12-27,761251,1243021.28571429
2020-12-28,1513195,1213580.71428571
2020-12-29,1558295,1184165.42857143
2020-12-30,1585476,1156985.14285714
2020-12-31,1277146,1151626.57142857
2021-01-01,614497,1170006.28571429
2021-01-02,989612,1185638.85714286
2021-01-03,653915,1170305.14285714
2021-01-04,1561237,1177168.28571429
2021-01-05,1600910,1183256.14285714
2021-01-06,1616889,1187743.71428571
2021-01-07,1614248,1235901.14285714
2021-01-08,1622259,1379867.14285714
2021-01-09,991218,1380096.57142857
2021-01-10,763690,1395778.71428571
2021-01-11,1571330,1397220.57142857
2021-01-12,1643725,1403337
2021-01-13,1644812,1407326
2021-01-14,1650630,1412523.42857143
2021-01-15,1630098,1413643.28571429
2021-01-16,992599,1413840.57142857
2021-01-17,798564,1418822.57142857
2021-01-18,1279119,1377078.14285714
2021-01-19,1639243,1376437.85714286
2021-01-20,1578038,1366898.71428571
2021-01-21,1656100,1367680.14285714
2021-01-22,1675175,1374119.71428571
2021-01-23,998665,1374986.28571429
2021-01-24,741960,1366900
2021-01-25,1595694,1412125
2021-01-26,1553918,1399935.71428571
2021-01-27,1663376,1412126.85714286
2021-01-28,1650014,1411257.42857143
2021-01-29,1514326,1388279
2021-01-30,943426,1380387.71428571
2021-01-31,723473,1377746.71428571
2021-02-01,584184,1233245.28571429
2021-02-02,1007502,1155185.85714286
2021-02-03,1705655,1161225.71428571
2021-02-04,1789214,1181111.42857143
2021-02-05,1744130,1213940.57142857
2021-02-06,1149757,1243416.42857143
2021-02-07,653257,1233385.57142857
2021-02-08,1642828,1384620.42857143
2021-02-09,1669590,1479204.42857143
2021-02-10,1753405,1486025.85714286
2021-02-11,1717804,1475824.42857143
2021-02-12,1709253,1470842
2021-02-13,1093261,1462771.14285714
2021-02-14,858877,1492145.42857143
2021-02-15,1220357,1431792.42857143
2021-02-16,1630739,1426242.28571429
2021-02-17,1736509,1423828.57142857
2021-02-18,1384407,1376200.42857143
2021-02-19,1568728,1356125.42857143
2021-02-20,1111970,1358798.14285714
2021-02-21,837051,1355680.14285714
2021-02-22,1585133,1407791
2021-02-23,1733604,1422486
